treatment,mean_infl_wound,n_agents,peak_collagen,peak_inflammation,peak_inflammation_day,peak_inflammation_step,peak_macrophages,peak_myofibroblasts,peak_neutrophils,scar_magnitude,time_to_50pct_days,time_to_90pct_days,wound_closure_pct
doxycycline+growth_factor+moisture+npwt,0.012314,0,1.95209,0.739216,2.5,600,10,17,9,2.30293,14.2,24.2,100.0
doxycycline+growth_factor+msc+npwt,0.00483055,0,1.64985,0.69352,1.7,400,10,16,11,1.74748,10.8,18.3,100.0
doxycycline+hbo+moisture+msc,0.0159366,0,2.25151,0.707618,1.7,400,10,10,9,2.30715,15.0,23.3,100.0
doxycycline+hbo+moisture+npwt,0.00646656,0,1.03842,0.696998,1.7,400,10,10,12,1.88276,12.5,19.2,100.0
doxycycline+hbo+msc+npwt,0.00654925,0,1.21907,0.696621,1.7,400,10,10,9,1.87571,10.8,19.2,100.0
doxycycline+moisture+msc+npwt,0.00455305,0,1.64287,0.698695,1.7,400,10,10,10,1.76327,10.8,17.5,100.0
growth_factor+hbo+moisture+msc,0.0157039,0,2.04829,0.817339,1.7,400,10,16,14,2.37536,11.7,21.7,100.0
growth_factor+hbo+moisture+npwt,0.0085245,0,1.50686,0.844701,2.5,600,10,17,10,2.26073,12.5,19.2,100.0
growth_factor+hbo+msc+npwt,0.0143046,0,1.31731,0.80703,1.7,400,10,16,11,2.12946,12.5,22.5,100.0
growth_factor+moisture+msc+npwt,0.00847089,0,2.04554,0.875844,3.3,800,10,16,11,2.32782,14.2,21.7,100.0
hbo+moisture+msc+npwt,0.00918767,0,1.47933,0.808375,1.7,400,10,10,11,1.93235,10.8,17.5,100.0
anti_inflammatory+doxycycline+growth_factor+hbo+moisture,0.00514651,0,1.73751,0.518913,1.7,400,10,16,11,1.09518,10.0,20.8,100.0
anti_inflammatory+doxycycline+growth_factor+hbo+msc,0.000582343,0,2.12459,0.441736,1.7,400,10,17,11,0.873569,14.2,25.8,100.0
anti_inflammatory+doxycycline+growth_factor+hbo+npwt,0.00345572,0,1.31023,0.506522,1.7,400,10,17,10,0.994571,10.8,20.8,100.0
anti_inflammatory+doxycycline+growth_factor+moisture+msc,0.00558824,0,2.00736,0.521623,1.7,400,10,17,10,1.07506,10.8,21.7,100.0
anti_inflammatory+doxycycline+growth_factor+moisture+npwt,0.00356482,0,2.50961,0.516718,1.7,400,10,17,10,1.03355,15.8,22.5,100.0
anti_inflammatory+doxycycline+growth_factor+msc+npwt,0.00366447,0,2.15031,0.510009,1.7,400,10,17,9,1.00359,10.8,20.8,100.0
anti_inflammatory+doxycycline+hbo+moisture+msc,0.00633234,0,1.57532,0.516887,1.7,400,10,10,10,1.09379,10.8,19.2,100.0
anti_inflammatory+doxycycline+hbo+moisture+npwt,0.00326691,0,0.645581,0.50833,1.7,400,10,10,9,1.05404,10.8,17.5,100.0
anti_inflammatory+doxycycline+hbo+msc+npwt,0.00274904,0,1.74803,0.503583,1.7,400,10,10,10,1.00539,10.8,19.2,100.0
anti_inflammatory+doxycycline+moisture+msc+npwt,0.00345033,0,1.3016,0.502559,1.7,400,10,10,9,1.01182,14.2,20.0,100.0
anti_inflammatory+growth_factor+hbo+moisture+msc,0.00580272,0,1.70567,0.511079,1.7,400,10,17,10,1.08811,14.2,22.5,100.0
anti_inflammatory+growth_factor+hbo+moisture+npwt,0.00291258,0,1.45789,0.505305,1.7,400,10,16,10,1.03159,12.5,20.0,100.0
anti_inflammatory+growth_factor+hbo+msc+npwt,0.00312585,0,1.47981,0.504433,1.7,400,10,15,11,0.956159,11.7,20.0,100.0
anti_inflammatory+growth_factor+moisture+msc+npwt,0.00254208,0,1.6912,0.501373,1.7,400,10,16,10,0.972397,10.0,20.0,100.0
anti_inflammatory+hbo+moisture+msc+npwt,0.00308426,0,1.38724,0.496496,1.7,400,10,10,9,0.983989,10.8,20.0,100.0
doxycycline+growth_factor+hbo+moisture+msc,0.00991138,0,1.57926,0.712984,1.7,400,10,17,9,1.89601,11.7,20.0,100.0
doxycycline+growth_factor+hbo+moisture+npwt,0.00856703,0,2.03344,0.693629,1.7,400,10,17,11,1.91385,12.5,19.2,100.0
doxycycline+growth_factor+hbo+msc+npwt,0.00551227,0,2.06361,0.694387,1.7,400,10,17,11,1.81112,12.5,19.2,100.0
doxycycline+growth_factor+moisture+msc+npwt,0.00696623,0,2.18246,0.694939,1.7,400,10,17,12,1.98977,14.2,20.8,100.0
doxycycline+hbo+moisture+msc+npwt,0.00770169,0,1.30491,0.69877,1.7,400,10,10,10,1.89951,11.7,20.8,100.0
growth_factor+hbo+moisture+msc+npwt,0.0364657,0,2.44725,0.826973,1.7,400,10,17,12,2.23153,11.7,20.8,100.0
anti_inflammatory+doxycycline+growth_factor+hbo+moisture+msc,0.00523102,0,2.71566,0.513527,1.7,400,10,15,13,1.02036,10.8,18.3,100.0
anti_inflammatory+doxycycline+growth_factor+hbo+moisture+npwt,0.00261049,0,1.13675,0.509202,1.7,400,10,17,9,0.931115,11.7,18.3,100.0
anti_inflammatory+doxycycline+growth_factor+hbo+msc+npwt,0.00387788,0,0.938814,0.507821,1.7,400,10,16,13,1.0181,10.0,19.2,100.0
anti_inflammatory+doxycycline+growth_factor+moisture+msc+npwt,0.00280433,0,1.38745,0.511672,1.7,400,10,15,12,1.04457,12.5,20.8,100.0
anti_inflammatory+doxycycline+hbo+moisture+msc+npwt,0.00326352,0,0.899683,0.497473,1.7,400,10,10,9,1.03727,13.3,20.0,100.0
anti_inflammatory+growth_factor+hbo+moisture+msc+npwt,0.0035194,0,2.07972,0.502815,1.7,400,10,17,10,1.019,12.5,22.5,100.0
doxycycline+growth_factor+hbo+moisture+msc+npwt,0.00651583,0,1.51973,0.704923,1.7,400,10,17,14,1.8909,11.7,20.0,100.0
anti_inflammatory+doxycycline+growth_factor+hbo+moisture+msc+npwt,0.00286678,0,2.16422,0.511683,1.7,400,10,16,9,0.994636,10.0,19.2,100.0
