treatment,metric,max_deviation,max_deviation_day,resistance,peak_response,t_max_days,return_time_days,elasticity,settling_time_days,overshoot,overshoot_pct,auc_burden,steady_state_error,rise_time_days,final_value,initial_value
growth_factor_msc,mean_fibronectin_wound,0.36938,34.166666666666664,2.7072391575071744,0.487462,5.0,,,31.666666666666668,0.36938,75.7761630650184,8.850632916666667,,,0.118082,0.224775
growth_factor_msc_npwt,wound_closure_pct,100.0,0.0,0.01,100.0,23.333333333333332,23.333333333333332,4.285714285714286,23.333333333333332,100.0,100.0,1333.3330833333332,0.0,19.166666666666664,100.0,0.0
growth_factor_msc_npwt,mean_infl_wound,0.809122,1.6666666666666667,1.2359075640014732,0.809122,1.6666666666666667,32.5,0.02489606153846154,34.166666666666664,0.79917611,98.77077993182733,8.946491537500004,0.00994589,,0.00994589,0.0
growth_factor_msc_npwt,mean_collagen_wound,2.49805,0.0,0.40031224354996897,2.49805,21.666666666666668,17.5,0.14274571428571428,18.333333333333332,0.0,0.0,54.51093208333333,,9.166666666666666,2.49805,0.0
growth_factor_msc_npwt,mean_perfusion_wound,1.0,0.0,1.0,0.48959,4.166666666666667,3.3333333333333335,0.3,21.666666666666668,0.436872,43.6872,19.057665,0.5631280000000001,1.6666666666666667,0.436872,0.0
growth_factor_msc_npwt,scar_magnitude,2.16503,34.166666666666664,0.4618873641473791,2.16503,34.166666666666664,,,23.333333333333332,0.0,0.0,52.868940666666674,2.16503,,2.16503,0.0
growth_factor_msc_npwt,n_neutrophils,9.0,1.6666666666666667,0.1111111111111111,9.0,1.6666666666666667,6.666666666666667,1.3499999999999999,8.333333333333334,9.0,100.0,41.666666666666664,0.0,,0.0,0.0
growth_factor_msc_npwt,mean_mmp_wound,0.770692,2.5,1.2975352021300337,0.770692,2.5,31.666666666666664,0.024337642105263162,34.166666666666664,0.7499959,97.31460817031966,8.730174458333336,0.0206961,,0.0206961,0.0
growth_factor_msc_npwt,mean_fibronectin_wound,0.36371400000000004,34.166666666666664,2.7494130003244304,0.479376,5.0,,,30.833333333333332,0.36371400000000004,75.87238409932912,8.165824583333334,,,0.115662,0.224775
growth_factor_npwt,wound_closure_pct,100.0,0.0,0.01,100.0,23.333333333333332,23.333333333333332,4.285714285714286,23.333333333333332,100.0,100.0,1406.2499166666664,0.0,19.166666666666664,100.0,0.0
growth_factor_npwt,mean_infl_wound,0.857662,2.5,1.165960483267301,0.857662,2.5,31.666666666666664,0.02708406315789474,34.166666666666664,0.8396757,97.90286849598093,10.318847458333334,0.0179863,,0.0179863,0.0
growth_factor_npwt,mean_collagen_wound,2.32253,0.0,0.43056494426336794,2.32253,21.666666666666668,18.333333333333332,0.12668345454545454,19.166666666666668,0.0,0.0,49.08219850000002,,9.999999999999998,2.32253,0.0
growth_factor_npwt,mean_perfusion_wound,1.0,0.0,1.0,0.440245,10.833333333333334,4.166666666666667,0.24,27.5,0.369728,36.9728,21.370488666666667,0.6302719999999999,2.5,0.369728,0.0
growth_factor_npwt,scar_magnitude,2.49398,34.166666666666664,0.4009655249841618,2.49398,34.166666666666664,,,23.333333333333332,0.0,0.0,60.37068566666668,2.49398,,2.49398,0.0
growth_factor_npwt,n_neutrophils,10.0,3.3333333333333335,0.1,10.0,3.3333333333333335,5.0,2.0,8.333333333333334,10.0,100.0,36.666666666666664,0.0,,0.0,0.0
growth_factor_npwt,mean_mmp_wound,1.00102,4.166666666666667,0.9989810393398733,1.00102,4.166666666666667,18.333333333333332,0.05460109090909091,34.166666666666664,0.834878,83.40272921619948,12.391961249999996,0.166142,,0.166142,0.0
growth_factor_npwt,mean_fibronectin_wound,0.375293,34.166666666666664,2.664584737791539,0.480829,5.0,,,30.0,0.375293,78.05124066975993,7.897817916666666,,,0.105536,0.224775
hbo,wound_closure_pct,100.0,0.0,0.01,100.0,34.166666666666664,34.166666666666664,2.9268292682926833,34.166666666666664,100.0,100.0,1958.3331416666658,0.0,29.999999999999996,100.0,0.0
hbo,mean_infl_wound,0.757663,2.5,1.3198480063035942,0.757663,2.5,30.833333333333336,0.02457285405405405,33.333333333333336,0.6711156,88.57705866592404,9.694180583333333,0.0865474,,0.0865474,0.0
hbo,mean_collagen_wound,2.49217,0.0,0.4012567360974572,2.49217,21.666666666666668,19.166666666666668,0.13002626086956523,20.0,0.0,0.0,52.49825408333332,,10.833333333333334,2.49217,0.0
hbo,mean_perfusion_wound,1.0,0.0,1.0,0.594495,7.5,24.166666666666668,0.041379310344827586,29.166666666666668,0.465396,46.5396,16.84652425,0.5346040000000001,1.6666666666666667,0.465396,0.0
hbo,scar_magnitude,2.35114,34.166666666666664,0.4253255867366469,2.35114,34.166666666666664,,,29.166666666666668,0.0,0.0,52.609632083333345,2.35114,,2.35114,0.0
hbo,n_neutrophils,9.0,1.6666666666666667,0.1111111111111111,9.0,1.6666666666666667,6.666666666666667,1.3499999999999999,8.333333333333334,9.0,100.0,39.166666666666664,0.0,,0.0,0.0
hbo,mean_mmp_wound,0.819984,4.166666666666667,1.2195359909461647,0.819984,4.166666666666667,29.999999999999996,0.027332800000000004,34.166666666666664,0.7711991,94.05050586352904,12.318693041666664,0.0487849,,0.0487849,0.0
hbo,mean_fibronectin_wound,0.3958139,34.166666666666664,2.526439824372009,0.489749,5.833333333333333,,,28.333333333333332,0.3958139,80.81974644154455,7.714248124999997,,,0.0939351,0.224775
hbo_moisture,wound_closure_pct,100.0,0.0,0.01,100.0,20.0,20.0,5.0,20.0,100.0,100.0,1239.58325,0.0,15.833333333333332,100.0,0.0
hbo_moisture,mean_infl_wound,0.845087,2.5,1.1833101207331316,0.845087,2.5,31.666666666666664,0.026686957894736844,34.166666666666664,0.8239023000000001,97.49319300853048,10.817414208333334,0.0211847,,0.0211847,0.0
hbo_moisture,mean_collagen_wound,2.02486,0.0,0.4938613039913871,2.02486,21.666666666666668,18.333333333333332,0.1104469090909091,20.0,0.0,0.0,42.788194166666685,,9.999999999999998,2.02486,0.0
hbo_moisture,mean_perfusion_wound,1.0,0.0,1.0,0.594492,7.5,3.3333333333333335,0.3,29.166666666666668,0.487362,48.736200000000004,16.597885916666662,0.5126379999999999,1.6666666666666667,0.487362,0.0
hbo_moisture,scar_magnitude,2.61224,34.166666666666664,0.38281321777478333,2.61224,34.166666666666664,,,24.166666666666668,0.0,0.0,62.551832916666676,2.61224,,2.61224,0.0
hbo_moisture,n_neutrophils,10.0,3.3333333333333335,0.1,10.0,3.3333333333333335,4.166666666666666,2.4000000000000004,7.5,10.0,100.0,36.66666666666667,0.0,,0.0,0.0
hbo_moisture,mean_mmp_wound,0.952051,24.166666666666668,1.0503638985726604,0.952051,24.166666666666668,9.999999999999996,0.09520510000000003,34.166666666666664,0.8663033,90.99337115343612,14.924023208333336,0.0857477,,0.0857477,0.0
hbo_moisture,mean_fibronectin_wound,0.384438,34.166666666666664,2.601199673289321,0.483012,5.0,,,30.833333333333332,0.384438,79.59181138356811,7.529036250000001,,,0.098574,0.224775
hbo_moisture_msc,wound_closure_pct,100.0,0.0,0.01,100.0,18.333333333333332,18.333333333333332,5.454545454545455,18.333333333333332,100.0,100.0,1100.6944166666665,0.0,14.166666666666664,100.0,0.0
hbo_moisture_msc,mean_infl_wound,0.85861,1.6666666666666667,1.164673134484807,0.85861,1.6666666666666667,32.5,0.026418769230769232,34.166666666666664,0.8411622,97.9679016084136,9.665490416666664,0.0174478,,0.0174478,0.0
hbo_moisture_msc,mean_collagen_wound,2.00393,0.0,0.49901942682628636,2.00393,21.666666666666668,18.333333333333332,0.10930527272727274,19.166666666666668,0.0,0.0,42.18148125,,9.166666666666666,2.00393,0.0
hbo_moisture_msc,mean_perfusion_wound,1.0,0.0,1.0,0.594321,8.333333333333334,3.3333333333333335,0.3,30.0,0.502567,50.256699999999995,16.42318883333333,0.497433,1.6666666666666667,0.502567,0.0
hbo_moisture_msc,scar_magnitude,2.35213,34.166666666666664,0.42514656927975925,2.35213,34.166666666666664,,,25.0,0.0,0.0,57.58720541666667,2.35213,,2.35213,0.0
hbo_moisture_msc,n_neutrophils,9.0,1.6666666666666667,0.1111111111111111,9.0,1.6666666666666667,6.666666666666667,1.3499999999999999,8.333333333333334,9.0,100.0,35.0,0.0,,0.0,0.0
hbo_moisture_msc,mean_mmp_wound,0.967062,25.833333333333332,1.0340598637936347,0.967062,25.833333333333332,8.333333333333332,0.11604744000000002,34.166666666666664,0.836245,86.47273907981081,15.305832916666665,0.130817,,0.130817,0.0
hbo_moisture_msc,mean_fibronectin_wound,0.36708589999999997,34.166666666666664,2.7241580240483225,0.466095,5.0,,,31.666666666666668,0.36708589999999997,78.75774252030166,7.342602541666666,,,0.0990091,0.224775
